epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.51825,0.52243,1.10586,3.02112,1.12514,0.48294,0.33333,0.1885,0.10265,0.20115,0.33333,0.10475,0.10269,0.57584,0.98179,3.49478,1.37056,0,0,0
2,19.1366,0.4602,1.20799,2.68908,1.17263,0.37934,0.66667,0.30249,0.30067,0.37934,0.66667,0.30249,0.30093,0.35577,0.70322,2.4011,1.16706,1.802e-05,1.802e-05,1.802e-05
3,28.9053,0.4174,0.90978,1.52643,1.1231,0.96507,0.66667,0.863,0.84324,0.96507,0.66667,0.863,0.84324,0.27756,0.49518,1.1536,0.92734,3.208e-05,3.208e-05,3.208e-05
4,38.9708,0.30277,0.5523,1.49206,1.02734,0.977,1,0.995,0.995,0.977,1,0.995,0.995,0.20859,0.37774,0.72513,0.87112,4.218e-05,4.218e-05,4.218e-05
5,48.7193,0.25742,0.49359,0.94225,0.89136,0.98439,1,0.995,0.995,0.98439,1,0.995,0.995,0.21066,0.32233,0.62496,0.84916,4.832e-05,4.832e-05,4.832e-05
6,58.9315,0.26372,0.39553,0.97181,0.95011,0.98584,1,0.995,0.95104,0.98584,1,0.995,0.995,0.25362,0.30584,0.541,0.85228,5.05e-05,5.05e-05,5.05e-05
7,69.0215,0.2696,0.38341,1.12593,0.96497,0.98557,1,0.995,0.92904,0.98557,1,0.995,0.995,0.32775,0.31194,0.66345,0.87149,4.872e-05,4.872e-05,4.872e-05
8,79.0893,0.25502,0.35177,0.82812,0.93296,0.98138,1,0.995,0.92904,0.98138,1,0.995,0.995,0.35089,0.33425,0.87786,0.88209,4.298e-05,4.298e-05,4.298e-05
9,89.1584,0.26842,0.35013,0.72504,0.8853,0.97784,1,0.995,0.9067,0.97784,1,0.995,0.995,0.3388,0.35228,0.90963,0.87806,3.328e-05,3.328e-05,3.328e-05
10,99.2414,0.25222,0.30114,0.74499,0.85275,0.97948,1,0.995,0.93987,0.97948,1,0.995,0.995,0.29974,0.35904,0.93733,0.87045,1.962e-05,1.962e-05,1.962e-05
