epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.35363,0.78197,1.63162,2.61439,1.42254,0.48252,0.33333,0.18729,0.10156,0.18148,0.33333,0.10354,0.10159,0.58909,0.98314,3.48689,1.38024,0,0,0
2,19.3542,0.73052,1.66022,2.74018,1.26805,0.32388,0.33333,0.45072,0.44673,0.32388,0.33333,0.45072,0.44726,0.33868,0.62638,2.31624,1.11103,1.9802e-05,1.9802e-05,1.9802e-05
3,29.2885,0.52996,1.00297,1.85044,1.12665,0.96516,0.66667,0.863,0.863,0.96516,0.66667,0.863,0.863,0.2115,0.42393,1.0653,0.93119,3.9208e-05,3.9208e-05,3.9208e-05
4,39.851,0.29361,0.58954,1.03174,0.95282,0.96273,1,0.995,0.995,0.96273,1,0.995,0.995,0.17934,0.36605,1.44566,0.86602,5.8218e-05,5.8218e-05,5.8218e-05
5,50.5421,0.37038,0.54391,0.9735,0.98858,0.79637,1,0.995,0.93987,0.79637,1,0.995,0.995,0.2657,0.33861,1.35195,0.86001,7.6832e-05,7.6832e-05,7.6832e-05
6,61.0369,0.37728,0.51917,0.81537,0.94868,0.92675,1,0.995,0.995,0.92675,1,0.995,0.995,0.26995,0.32745,0.79528,0.87547,9.505e-05,9.505e-05,9.505e-05
7,71.5509,0.41434,0.48554,1.17114,0.96912,0.73926,1,0.995,0.96204,0.73926,1,0.995,0.995,0.30095,0.32953,1.19039,0.89213,0.000112872,0.000112872,0.000112872
8,82.0173,0.34577,0.30888,0.66454,0.9772,1,1,0.995,0.95104,1,1,0.995,0.995,0.362,0.37339,2.16802,0.95086,0.000130298,0.000130298,0.000130298
9,92.3305,0.38032,0.43175,0.71977,0.95035,1,1,0.995,0.91229,1,1,0.995,0.995,0.36772,0.41628,2.16187,0.99898,0.000147328,0.000147328,0.000147328
10,103.093,0.37739,0.42937,0.53817,0.94226,0.71394,1,0.995,0.64336,0.71394,1,0.995,0.995,0.89747,0.43028,3.2058,1.21606,0.000163962,0.000163962,0.000163962
11,113.49,0.36783,0.44567,0.74396,0.93893,1,1,0.995,0.50475,1,1,0.995,0.9133,0.66868,0.43827,12.1348,0.91266,0.0001802,0.0001802,0.0001802
12,123.884,0.40264,0.67518,0.57555,0.88426,1,1,0.995,0.96204,1,1,0.995,0.995,0.35594,0.38575,6.22883,0.90063,0.000196042,0.000196042,0.000196042
13,134.388,0.30228,0.39485,0.51228,0.85997,1,1,0.995,0.95104,1,1,0.995,0.995,0.37606,0.36861,2.69106,0.89994,0.000211488,0.000211488,0.000211488
14,144.837,0.51122,0.52058,0.68218,1.05188,0.94987,1,0.995,0.91229,0.94987,1,0.995,0.96204,0.3073,0.47614,1.41443,0.8858,0.000226538,0.000226538,0.000226538
15,155.293,0.44737,0.50142,0.71008,1.09126,1,1,0.995,0.91229,1,1,0.995,0.92904,0.33217,0.56571,3.01081,0.91339,0.000241192,0.000241192,0.000241192
16,165.735,0.49117,0.59114,0.5855,0.9871,1,1,0.995,0.96204,1,1,0.995,0.89607,0.29909,1.0131,4.80931,0.92594,0.00025545,0.00025545,0.00025545
17,176.149,0.49855,0.63678,0.79247,0.97074,1,1,0.995,0.8955,1,1,0.995,0.86254,0.33724,1.32847,4.41783,0.92898,0.000269312,0.000269312,0.000269312
18,186.546,0.41438,0.5097,0.64995,0.95929,1,1,0.995,0.8955,1,1,0.995,0.86254,0.33724,1.32847,4.41783,0.92898,0.000282778,0.000282778,0.000282778
19,197.018,0.45457,0.4727,0.77285,0.96476,1,1,0.995,0.93987,1,1,0.995,0.96204,0.29468,0.52722,2.09611,0.88123,0.000295848,0.000295848,0.000295848
20,207.338,0.36089,0.31449,0.84668,0.9262,1,1,0.995,0.93987,1,1,0.995,0.96204,0.29468,0.52722,2.09611,0.88123,0.000308522,0.000308522,0.000308522
21,217.67,0.40207,0.46017,0.77782,0.94239,1,1,0.995,0.995,1,1,0.995,0.995,0.28299,0.40895,2.29353,0.88699,0.0003208,0.0003208,0.0003208
22,228.165,0.43756,0.52392,1.17453,1.00765,1,1,0.995,0.995,1,1,0.995,0.995,0.28299,0.40895,2.29353,0.88699,0.000332682,0.000332682,0.000332682
23,238.645,0.55641,0.61334,1.32824,1.06932,1,1,0.995,0.95104,1,1,0.995,0.995,0.30407,0.51241,7.4818,0.89691,0.000344168,0.000344168,0.000344168
24,248.958,0.49841,0.57598,0.89854,0.97861,1,1,0.995,0.95104,1,1,0.995,0.995,0.30407,0.51241,7.4818,0.89691,0.000355258,0.000355258,0.000355258
25,259.66,0.45424,0.6329,0.81043,1.01312,1,0.66667,0.863,0.82344,1,0.66667,0.863,0.75095,0.30481,2.28286,6.22471,0.8745,0.000365952,0.000365952,0.000365952
26,269.801,0.41793,0.4494,0.84225,1.04074,1,0.66667,0.863,0.82344,1,0.66667,0.863,0.75095,0.30481,2.28286,6.22471,0.8745,0.00037625,0.00037625,0.00037625
27,279.57,0.46971,0.43263,0.94458,1.04856,1,0.66667,0.995,0.995,1,0.66667,0.995,0.96204,0.21267,0.64184,8.03563,0.83704,0.000386152,0.000386152,0.000386152
28,289.949,0.43672,0.76993,0.85727,0.98559,1,0.66667,0.995,0.995,1,0.66667,0.995,0.96204,0.21267,0.64184,8.03563,0.83704,0.000395658,0.000395658,0.000395658
29,300.422,0.45387,0.62452,0.88607,0.9953,1,0.33333,0.995,0.995,1,0.33333,0.995,0.96204,0.19612,1.0686,6.63563,0.8307,0.000404768,0.000404768,0.000404768
30,310.753,0.63719,0.73441,0.94839,1.12472,1,0.33333,0.995,0.995,1,0.33333,0.995,0.96204,0.19612,1.0686,6.63563,0.8307,0.000413482,0.000413482,0.000413482
31,321.31,0.42139,0.42586,0.67152,0.94173,1,0.33333,0.995,0.93987,1,0.33333,0.995,0.93987,0.32515,1.255,5.41028,0.88168,0.0004218,0.0004218,0.0004218
32,331.777,0.38954,0.39962,0.59313,0.9431,1,0.33333,0.995,0.93987,1,0.33333,0.995,0.93987,0.32515,1.255,5.41028,0.88168,0.000429722,0.000429722,0.000429722
33,342.198,0.4813,0.51142,0.67219,0.96887,1,0.66667,0.995,0.93987,1,0.66667,0.995,0.91229,0.31575,1.06055,2.61332,0.90001,0.000437248,0.000437248,0.000437248
34,352.483,0.37878,0.31138,0.60241,0.91053,1,0.66667,0.995,0.93987,1,0.66667,0.995,0.91229,0.31575,1.06055,2.61332,0.90001,0.000444378,0.000444378,0.000444378
35,362.919,0.43573,0.36733,0.64234,0.9625,1,0.66667,0.995,0.91229,1,0.66667,0.995,0.89611,0.43344,2.03503,2.38569,0.98772,0.000451112,0.000451112,0.000451112
36,373.296,0.44598,0.53127,0.67831,0.96139,1,0.66667,0.995,0.91229,1,0.66667,0.995,0.89611,0.43344,2.03503,2.38569,0.98772,0.00045745,0.00045745,0.00045745
37,383.86,0.50771,0.56062,0.67448,1.0413,1,0.66667,0.995,0.77195,1,0.66667,0.995,0.87954,0.63963,1.44623,7.84418,1.30865,0.000463392,0.000463392,0.000463392
38,394.313,0.53295,0.55922,0.64328,1.07454,1,0.66667,0.995,0.77195,1,0.66667,0.995,0.87954,0.63963,1.44623,7.84418,1.30865,0.000468938,0.000468938,0.000468938
39,405.049,0.49805,0.48099,0.63611,1.05487,1,1,0.995,0.5809,1,1,0.995,0.60606,0.95567,5.01544,17.4477,2.01435,0.000474088,0.000474088,0.000474088
40,415.442,0.39422,0.41004,0.4932,0.90687,1,1,0.995,0.5809,1,1,0.995,0.60606,0.95567,5.01544,17.4477,2.01435,0.000478842,0.000478842,0.000478842
41,425.977,0.49139,0.6693,0.68135,0.99172,1,1,0.995,0.75207,1,1,0.995,0.70877,0.71466,4.21458,20.0269,1.50335,0.0004832,0.0004832,0.0004832
42,436.613,0.47956,0.55682,0.6435,1.02912,1,1,0.995,0.75207,1,1,0.995,0.70877,0.71466,4.21458,20.0269,1.50335,0.000487162,0.000487162,0.000487162
43,447.136,0.41473,0.32152,0.52158,0.95005,1,1,0.995,0.71891,1,1,0.995,0.73011,0.79076,6.43175,19.5768,1.54009,0.000490728,0.000490728,0.000490728
44,456.745,0.52682,0.93464,0.56471,1.04323,1,1,0.995,0.71891,1,1,0.995,0.73011,0.79076,6.43175,19.5768,1.54009,0.000493898,0.000493898,0.000493898
45,467.053,0.46723,0.43277,0.59689,1.01315,1,1,0.995,0.75207,1,1,0.995,0.81841,0.75194,5.90221,12.2348,1.45023,0.000496672,0.000496672,0.000496672
46,477.641,0.38411,0.42677,0.47049,0.93748,1,1,0.995,0.75207,1,1,0.995,0.81841,0.75194,5.90221,12.2348,1.45023,0.00049905,0.00049905,0.00049905
47,488.141,0.35675,0.42935,0.48731,0.96825,1,0.66667,0.995,0.8955,1,0.66667,0.995,0.89607,0.46236,7.08553,9.41927,0.92475,0.000501032,0.000501032,0.000501032
48,498.62,0.38551,0.39189,0.5818,0.93469,1,0.66667,0.995,0.8955,1,0.66667,0.995,0.89607,0.46236,7.08553,9.41927,0.92475,0.000502618,0.000502618,0.000502618
49,509.238,0.45423,0.6343,0.60073,0.97401,0.72323,1,0.995,0.93987,0.72323,1,0.995,0.84636,0.46264,10.6083,6.10839,0.93304,0.000503808,0.000503808,0.000503808
50,519.787,0.45202,0.38569,0.57576,0.95532,0.72323,1,0.995,0.93987,0.72323,1,0.995,0.84636,0.46264,10.6083,6.10839,0.93304,0.000504602,0.000504602,0.000504602
51,530.261,0.40833,0.34975,0.46944,0.91632,0.93928,1,0.995,0.95104,0.93928,1,0.995,0.76419,0.41234,13.5257,2.8066,0.94417,0.000505,0.000505,0.000505
52,540.613,0.35456,0.30283,0.49732,0.97854,0.93928,1,0.995,0.95104,0.93928,1,0.995,0.76419,0.41234,13.5257,2.8066,0.94417,0.000505002,0.000505002,0.000505002
53,551.063,0.38044,0.35475,0.47861,0.93215,0.93928,1,0.995,0.95104,0.93928,1,0.995,0.76419,0.41234,13.5257,2.8066,0.94417,0.000504608,0.000504608,0.000504608
54,561.427,0.44909,0.41088,0.64482,0.9484,0.74897,1,0.995,0.96204,0.74897,1,0.995,0.64322,0.38418,19.105,1.81588,0.93354,0.000503818,0.000503818,0.000503818
55,571.762,0.4614,0.48948,0.64636,0.99239,0.74897,1,0.995,0.96204,0.74897,1,0.995,0.64322,0.38418,19.105,1.81588,0.93354,0.000502632,0.000502632,0.000502632
56,582.166,0.37869,0.30493,0.4923,0.94035,0.74897,1,0.995,0.96204,0.74897,1,0.995,0.64322,0.38418,19.105,1.81588,0.93354,0.00050105,0.00050105,0.00050105
57,592.57,0.48575,0.39417,0.54389,1.0205,0.49347,1,0.995,0.92904,0.49347,1,0.995,0.70933,0.34823,11.7047,2.73406,0.90227,0.000499072,0.000499072,0.000499072
58,602.855,0.41269,0.41895,0.63414,0.97589,0.49347,1,0.995,0.92904,0.49347,1,0.995,0.70933,0.34823,11.7047,2.73406,0.90227,0.000496698,0.000496698,0.000496698
59,613.424,0.34637,0.35669,0.55544,0.92395,0.49347,1,0.995,0.92904,0.49347,1,0.995,0.70933,0.34823,11.7047,2.73406,0.90227,0.000493928,0.000493928,0.000493928
60,623.806,0.42531,0.35516,0.56448,0.96624,0.79761,1,0.995,0.92904,0.79761,1,0.995,0.80099,0.42,4.06248,3.26111,0.95805,0.000490762,0.000490762,0.000490762
